Date,Time,Session duration,Entry URL,Exit URL,Referrer:,Clarity user ID,Browser,Device,OS,Country,Page count,Session clicks,Favorite,Recording link
11/12/2024,8:05 PM,0:26,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3CqamjsAoBVMyS62xfSnuPOhzqUP1WWNsc3zHXF_kNZnF7PsvTK_n9Bao_aem_MkJkfwuUO8kkErgT3GrvGQ,https://hoperiddle.s2-tastewp.com/recipes/,http://m.facebook.com/,1ji4di,Unknown,Mobile,iOS,Romania,2,4,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/1ji4di/1foojgm/?ss=1731434751000&sd=26
11/12/2024,7:59 PM,0:25,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3oVZzjn5PXpWT2Hy9GQLqkYkZq6yekerWcxTMcoyjeA3V-MBIrzI8fJHo_aem_FSmclXXTzNn74nOTt_7fSA,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3oVZzjn5PXpWT2Hy9GQLqkYkZq6yekerWcxTMcoyjeA3V-MBIrzI8fJHo_aem_FSmclXXTzNn74nOTt_7fSA,https://lm.facebook.com/,73n1m9,Unknown,Mobile,Android,Hungary,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/73n1m9/1jivgfd/?ss=1731434379000&sd=25
11/12/2024,7:43 PM,0:28,https://hoperiddle.s2-tastewp.com/,https://hoperiddle.s2-tastewp.com/,,ff32q6,ChromeMobile,Mobile,iOS,Romania,1,2,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/ff32q6/17t2ib7/?ss=1731433393000&sd=28
11/12/2024,6:53 PM,0:23,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR1xa1sOa0XQYcW7RvjJwAT-60WRQNnjtlBS_VG1ri6K6cmzzJoQq-rI3gU_aem_TR39FFOARcuUERZQFc_Qow,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR1xa1sOa0XQYcW7RvjJwAT-60WRQNnjtlBS_VG1ri6K6cmzzJoQq-rI3gU_aem_TR39FFOARcuUERZQFc_Qow,http://m.facebook.com/,1sdmm9b,Unknown,Mobile,iOS,Romania,1,2,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/1sdmm9b/1fkcsxd/?ss=1731430386000&sd=23
11/12/2024,6:48 PM,0:04,https://hoperiddle.s2-tastewp.com/recipes/,https://hoperiddle.s2-tastewp.com/recipes/,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR2WX5w6SWyX70AGsAGYmjmnjxGJc1M4mmvQMnrZEQjf9vFxJwM5JCJEGGQ_aem_oj5X80j_qgK0wMIDp-_YmA,arrkbi,Unknown,Mobile,iOS,Hungary,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/arrkbi/umlpxk/?ss=1731430106000&sd=4
11/12/2024,6:47 PM,0:10,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3z6WmVoJ9ah0jo_FUP9jUS0NL-6afsROnTZMGfADhe5GoW8aQxPUo6IaU_aem_ONk5D_yxgPhRNEQ0C7V5Qw,https://hoperiddle.s2-tastewp.com/about/,,agtbcn,Unknown,Mobile,iOS,Romania,2,4,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/agtbcn/14t8tq9/?ss=1731430074000&sd=10
11/12/2024,6:45 PM,0:31,https://hoperiddle.s2-tastewp.com/?fbclid=PAZXh0bgNhZW0CMTEAAabKjf0PkYidnzLaptRoL9XcAE-aB4uF12layi7lsjdNKCWewPZjdvyHjF0_aem_KzlqPEbyqE5nm6y5Kan3eA,https://hoperiddle.s2-tastewp.com/2024/11/11/american-pancakes-2/,https://l.instagram.com/,9292s,Unknown,Mobile,iOS,Romania,2,3,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/9292s/1fxyf9z/?ss=1731429937000&sd=31
11/12/2024,6:44 PM,3:03,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgZVBleHRuA2FlbQIxMQABHSz2bebdVR10UI1Woa4n0w2YqXwZszdehWYNtianN4Q_tYIpbJM1WPUJcQ_aem_BroNnlyal0fFkAAnX8vbAw,https://hoperiddle.s2-tastewp.com/about/,https://lm.facebook.com/,11404pf,Unknown,Mobile,Android,Romania,19,15,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/11404pf/bia70f/?ss=1731429890000&sd=183
11/12/2024,6:39 PM,0:21,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR2OimVla0ZrniUNwXI-NS9at6mEJ95BB0D-dthiNpPwhzo6iR85Hxp2b1E_aem_Aodlo04YAmyyeHD_CGgEBQ,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR2OimVla0ZrniUNwXI-NS9at6mEJ95BB0D-dthiNpPwhzo6iR85Hxp2b1E_aem_Aodlo04YAmyyeHD_CGgEBQ,https://www.facebook.com/,yd16iq,Chrome,PC,Linux,United States,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/yd16iq/r0faby/?ss=1731429588000&sd=21
11/12/2024,6:31 PM,1:03,https://hoperiddle.s2-tastewp.com/,https://hoperiddle.s2-tastewp.com/category/quick-easy/,,4cyftc,Unknown,Mobile,iOS,Romania,3,4,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/4cyftc/mx8dhf/?ss=1731429112000&sd=63
